,title,link,POI_ID,like,location,price,country,style,review,bookmark,discount,point,loc,latitude,longitude
10975,火鍋英雄 Hot Pot Hero,www.openrice.com/zh/hongkong/r-%E7%81%AB%E9%8D%8B%E8%8B%B1%E9%9B%84-%E9%8A%85%E9%91%BC%E7%81%A3-%E5%B7%9D%E8%8F%9C-%E5%9B%9B%E5%B7%9D-%E7%81%AB%E9%8D%8B-r541686,541686,153.0,銅鑼灣駱克道491-499號京都廣場三樓,$201-400,川菜 (四川),火鍋,(170 食評),4447,送 25里數 / 30積分,"(22.280752, 114.183005, 0.0)","Hong Kong, Causeway Bay, Lockhart Rd, 491-499號491-499 號 京都 廣場 三 樓",22.280752,114.183005
10976,渝痴漁醉 Drunken Fish,www.openrice.com/zh/hongkong/r-%E6%B8%9D%E7%97%B4%E6%BC%81%E9%86%89-%E9%8A%85%E9%91%BC%E7%81%A3-%E5%B7%9D%E8%8F%9C-%E5%9B%9B%E5%B7%9D-%E9%9B%9E%E7%85%B2-r534671,534671,139.0,銅鑼灣記利佐治街1號金百利廣場8樓R1號舖,$101-200,川菜 (四川),火鍋,(158 食評),3432,,"(22.2804512, 114.1849467, 0.0)","號, 1 Great George St, Causeway Bay, Hong Kong",22.2804512,114.1849467
10977,四姐川菜 Sijie Sichuan Restaurant,www.openrice.com/zh/hongkong/r-%E5%9B%9B%E5%A7%90%E5%B7%9D%E8%8F%9C-%E9%8A%85%E9%91%BC%E7%81%A3-%E5%B7%9D%E8%8F%9C-%E5%9B%9B%E5%B7%9D-r121710,121710,165.0,銅鑼灣耀華街3號百樂中心10樓,$201-400,川菜 (四川),水煮菜式,(193 食評),9432,,"(22.2777035, 114.1821785, 0.0)","Hong Kong, 香港島銅鑼灣耀華街3號百樂中心10樓",22.2777035,114.1821785
10980,重慶劉一手火鍋店,www.openrice.com/zh/hongkong/r-%E9%87%8D%E6%85%B6%E5%8A%89%E4%B8%80%E6%89%8B%E7%81%AB%E9%8D%8B%E5%BA%97-%E9%8A%85%E9%91%BC%E7%81%A3-%E5%B7%9D%E8%8F%9C-%E5%9B%9B%E5%B7%9D-%E7%81%AB%E9%8D%8B-r554777,554777,105.0,銅鑼灣渣甸街66號Aura on Pennington地下及1樓,$201-400,川菜 (四川),火鍋,(142 食評),7915,9折,"(22.2791216, 114.1860476, 0.0)","66 Jardine's Bazaar, Causeway Bay, Hong Kong",22.2791216,114.1860476
10982,川府宴 SiChuan Delicacy,www.openrice.com/zh/hongkong/r-%E5%B7%9D%E5%BA%9C%E5%AE%B4-%E9%8A%85%E9%91%BC%E7%81%A3-%E5%B7%9D%E8%8F%9C-%E5%9B%9B%E5%B7%9D-%E7%81%AB%E9%8D%8B-r554271,554271,160.0,銅鑼灣登龍街28號永光中心25樓,$201-400,川菜 (四川),火鍋,(175 食評),1493,,"(22.2792646, 114.1820324, 0.0)","Hong Kong, 鵝頸登龍街28號永光中心25樓",22.2792646,114.1820324
10983,至尊重慶雞煲 Supreme Restaurant,www.openrice.com/zh/hongkong/r-%E8%87%B3%E5%B0%8A%E9%87%8D%E6%85%B6%E9%9B%9E%E7%85%B2-%E9%8A%85%E9%91%BC%E7%81%A3-%E5%B7%9D%E8%8F%9C-%E5%9B%9B%E5%B7%9D-%E9%9B%9E%E7%85%B2-r152676,152676,77.0,銅鑼灣堅拿道西10號冠景樓2樓B舖（鵝頸橋底）,$101-200,川菜 (四川),火鍋,(97 食評),3416,,"(22.2788049, 114.1810013, 0.0)","Hong Kong, 灣仔堅拿道西10號冠景樓2B",22.2788049,114.1810013
10989,鋼管廠五區小郡肝串串香 Spicy Chuen Chuen,www.openrice.com/zh/hongkong/r-%E9%8B%BC%E7%AE%A1%E5%BB%A0%E4%BA%94%E5%8D%80%E5%B0%8F%E9%83%A1%E8%82%9D%E4%B8%B2%E4%B8%B2%E9%A6%99-%E9%8A%85%E9%91%BC%E7%81%A3-%E5%B7%9D%E8%8F%9C-%E5%9B%9B%E5%B7%9D-%E7%81%AB%E9%8D%8B-r576032,576032,62.0,銅鑼灣軒尼詩道502號黃金廣場9樓全層,$201-400,川菜 (四川),火鍋,(78 食評),2087,,"(22.279928, 114.184249, 0.0)","Hong Kong, Causeway Bay, 銅鑼灣 軒尼詩道502號黃金廣場7樓",22.279928,114.184249
10996,謙記火鍋 Him Kee Hot Pot,www.openrice.com/zh/hongkong/r-%E8%AC%99%E8%A8%98%E7%81%AB%E9%8D%8B-%E9%8A%85%E9%91%BC%E7%81%A3-%E5%B7%9D%E8%8F%9C-%E5%9B%9B%E5%B7%9D-%E7%81%AB%E9%8D%8B-r10794,10794,72.0,銅鑼灣謝斐道408-412號華斐商業大廈1-3樓,$201-400,川菜 (四川),火鍋,(111 食評),3899,,"(22.280067, 114.18038, 0.0)","Hong Kong, Causeway Bay, 銅鑼灣謝斐道408-412號華斐商業大廈1至3字樓",22.280067,114.18038
10999,廚十三老壇酸菜魚,www.openrice.com/zh/hongkong/r-%E5%BB%9A%E5%8D%81%E4%B8%89%E8%80%81%E5%A3%87%E9%85%B8%E8%8F%9C%E9%AD%9A-%E9%8A%85%E9%91%BC%E7%81%A3-%E5%B7%9D%E8%8F%9C-%E5%9B%9B%E5%B7%9D-r582363,582363,17.0,銅鑼灣渣甸街66號亨環4樓,$101-200,川菜 (四川),中菜館,(27 食評),2083,,"(22.279145, 114.186056, 0.0)","Hong Kong, Causeway Bay, Jardine's Bazaar, 66號亨環4樓",22.279145,114.186056
11004,巴辣烤魚米線 Fisherman On Duty Restaurant,www.openrice.com/zh/hongkong/r-%E5%B7%B4%E8%BE%A3%E7%83%A4%E9%AD%9A%E7%B1%B3%E7%B7%9A-%E9%8A%85%E9%91%BC%E7%81%A3-%E5%B7%9D%E8%8F%9C-%E5%9B%9B%E5%B7%9D-%E7%81%AB%E9%8D%8B-r583086,583086,26.0,銅鑼灣禮頓山禮頓道28-30號月華大廈地舖,$101-200,川菜 (四川),火鍋,(28 食評),216,,"(22.2773033, 114.1832051, 0.0)","Lunar Building, 28-30 Leighton Rd, Leighton Hill, Hong Kong",22.2773033,114.1832051
